id,content,metadata,embedding
11," Access data and information related to voltage support in New England. [See Applications and Status Changes](https://www.iso-ne.com/participate/applications-status-changes) if you’d like to do business in New England’s energy markets or need to make changes to your ISO account.


### Data


[See ISO Express](https://www.iso-ne.com/markets-operations/iso-express) for a large selection of real\-time and historical ISO data and reports that can help market participants make informed decisions, such as [Schedule 2—VAR Annual Capacity Cost Rate Report](https://www.iso-ne.com/isoexpress/web/reports/billing/-/tree/schedule-2---var-annual-capacity-cost-rate-report) and [Schedule 2—VAR Status Summary Reports](https://www.iso-ne.com/isoexpress/web/reports/billing/-/tree/schedule-2---var-status-summary-reports).


### About Voltage and Reactive Control


For electricity to continuously and reliably flow, the ISO must ensure that voltage on the transmission system is maintained within an acceptable range at all times. Voltage is regulated through reactive power dispatch, and resources on the grid may be compensated for providing this reactive power capability. VAR (voltage\-ampere reactive) is the unit of measurement for reactive power.


### Rules and Resources


Other sections of the ISO website may also be helpful. Of note:


* The ISO Tariff contains the detailed rules governing compensation for voltage support, including the allocation of costs and billing for services. See Schedule 2 of [Section II: Open Access Transmission Tariff (the OATT)](https://www.iso-ne.com/participate/rules-procedures/tariff/oatt).
* [See the Generator and Non\-Generator VAR Capability page](https://www.iso-ne.com/participate/rules-procedures/generator-nongenerator-var-capability) for application forms, telemetering deadlines, and other materials related to the ISO’s voltage and reactive control compensation program.
* [See the ISO operating procedures](https://www.iso-ne.com/participate/rules-procedures/operating-procedures) (specifically OP 12 and OP 14\) for details on operations related to voltage support.
* [Understanding the Bill](https://www.iso-ne.com/markets-operations/settlements/understand-bill) helps explain how related payments and charges appear on ISO billing.
* [ISO training](https://www.iso-ne.com/participate/training) gives market participants access to educational and reference materials.
* [Master/Local Control Center Procedure No. 8: Coordination of Generator Voltage Regulator and Power System Stabilizer Outages](https://www.iso-ne.com/participate/rules-procedures/master-lcc-procedures) includes the procedure for approval or disapproval and coordination of outages for automatic voltage regulators, power system stabilizers, and reactive control systems, and establishes a procedure for reporting and tracking status of this equipment.


","{""title"": ""Introductory Text"", ""section"": ""Voltage Support"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/markets-operations/markets/voltage-support""}",[11]
12," Section II of the *[ISO New England Inc. Transmission, Markets, and Services Tariff](https://www.iso-ne.com/participate/rules-procedures/tariff)* (ISO Tariff) is known as the *[ISO New England Open Access Transmission Tariff](https://www.iso-ne.com/static-assets/documents/regulatory/tariff/sect_2/oatt/sect_ii.pdf) (OATT)*. The OATT:


* Helps ensure that all transmission owners and transmission customers have fair and open access to transmission service in New England
* Details the rights and responsibilities of transmission owners and transmission customers as well as the procedures they must follow and the fees transmission customers must pay to access the transmission system
* Sets out the transmission system planning process for the region
* Sets out the cost recovery and allocation mechanisms for transmission and ancillary services in the region (see Schedule 12\)


Below you’ll find the following components of the OATT, which are maintained as separate documents:


* **Transmission Service Agreement (TSA)** required for transmission customers who are not market participants to receive regional network service or point\-to\-point service
* **Schedule 20—Other Transmission Facilities and Service** detailing the terms and conditions for transmission service over the other transmission facilities, which are currently limited to transmission service offerings under Schedule 20A—Phase I/II HVDC Transmission Facility Service
* **Schedule 21—Local Service** providing the terms and conditions for local service from the various local transmission owners
* **Schedule 22—Standard Large Generator Interconnection Procedures** providing the terms and conditions for interconnecting large generating facilities (more than 20 MW) to the administered transmission system
* **Schedule 23—Standard Small Generator Interconnection Procedures** providing the terms and conditions for interconnecting small generating facilities (20 MW or less) to the administered transmission system
* **Schedule 24—Incorporation By Reference of NAESB Standards** providing for the Incorporation by Reference of North American Energy Standards Board (NAESB) Wholesale Electricity Quadrant (WEQ) Standards
* **Schedule 25—Standard Elective Transmission Upgrade Interconnection Procedures**providing the terms and conditions for interconnecting a new Pool Transmission Facility, Merchant Transmission Facility or Other Transmission Facility to the administered transmission system.  An Elective Transmission Upgrade is not a Generator Interconnection Related Upgrade, a Regional Transmission Upgrade, or a Market Efficiency Transmission Upgrade
* **Attachment K – Regional System Planning Process** describes the regional system planning process for Pool Transmission Facilities (PTF) conducted by the ISO, and local system planning process conducted by the PTOs. Attachment K includes the processes for the development of the Regional System Plan, the identification of system needs, the development of transmission solutions to address those needs, the identification and evaluation of Public Policy Requirements, and cluster studies


Other Helpful Materials
-----------------------


* **[Interconnection Process Guide for Generators and ETUs](https://www.iso-ne.com/participate/applications-status-changes/interconnection-process-guide/):** Assists in understanding the interconnection process for small and large generating facilities and elective transmission upgrades to interconnect to the administered transmission system
* **[Transmission Planning Main Webpage](https://www.iso-ne.com/system-planning/transmission-planning/):** Provides links to information on Competitive Transmission Projects, Proposed Plan Applications, the Transmission Cost Allocation process, the Interconnection Request Queue, and the Transmission Planning Guide
* **[Transmission Service Types](https://www.iso-ne.com/markets-operations/transmission-operations-services/service-types/):** Provides application forms, rates, business practices, and other documents related to the transmission services offered under the ISO OATT
* **[Transmission Service Applications](https://www.iso-ne.com/participate/applications-status-changes/transmission-service-applications/):** Provides information on the ISO OATT Business Practices needed to initiate transmission service
* **[OASIS](https://www.iso-ne.com/markets-operations/transmission-operations-services/oasis/):** Assists with understanding and accessing the New England Open Access Same\-Time Information Transmission System (OASIS), which facilitates the submittal of external transactions
* **[Enrollment in the Transmission Planning Region as a transmission provider](https://www.iso-ne.com/participate/applications-status-changes/transmission-planning-region-enrollment/):** Provides information and how to enroll


","{""title"": ""Introductory Text"", ""section"": ""Open Access Transmission Tariff (OATT)"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/tariff/oatt""}",[12]
13,https://www.iso-ne.com/static-assets/documents/2021/05/isone_nyiso_interconnection_facility.pdf,"{""title"": ""isone_nyiso_interconnection_facility.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/2021/05/isone_nyiso_interconnection_facility.pdf""}",[13]
14,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_e/attachment_e.pdf,"{""title"": ""attachment_e.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_e/attachment_e.pdf""}",[14]
15,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_g/attachment_g.pdf,"{""title"": ""attachment_g.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_g/attachment_g.pdf""}",[15]
16," Section III of the *[ISO New England Inc. Transmission, Markets, and Services Tariff](https://www.iso-ne.com/participate/rules-procedures/tariff)* (ISO Tariff) is known as Market Rule 1\. Market Rule 1 governs the operation of New England’s wholesale electricity markets and includes detailed information on pricing, scheduling, offering, bidding, settlement, and other procedures related to the purchase and sale of electricity.


[Download a zipped file](https://www.iso-ne.com/static-assets/documents/2015/05/mr1_archive.zip) (96MB) of archived versions of Market Rule 1 and its appendices from 2002\-2010\. For archived files after 2010, see the eTariff view available on the Federal Energy Regulatory Commission’s website.


","{""title"": ""Introductory Text"", ""section"": ""Market Rule 1"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/rules-procedures/tariff/market-rule-1""}",[16]
17,"
Industry Standards, Structure, and Relationships
================================================


ISO New England is regulated by the Federal Energy Regulatory Commission (FERC), which defines our authority, responsibilities, and the services we provide in New England. FERC’s mandated or approved rules are detailed in the [*ISO New England Inc. Transmission, Markets, and Services Tariff*](https://www.iso-ne.com/participate/rules-procedures/tariff) (the ISO tariff). The tariff also outlines the FERC\-approved revenues the ISO collects for its services and sets out the cost recovery and allocation mechanisms for transmission and ancillary services in the region. In conjunction with the ISO’s [Transmission Operating Agreements](https://www.iso-ne.com/participate/governing-agreements/transmission-operating-agreements), the ISO tariff helps satisfy FERC requirements for the ISO’s functioning as a Regional Transmission Organization (RTO).






#### Go Deeper


* [Reliability Standards: Development and Compliance](https://www.iso-ne.com/about/what-we-do/reliability-standards-development-and-compliance)
* [The ISO’s Funding and Budgeting Process](https://www.iso-ne.com/about/who-we-are/our-funding-and-budgeting-process)
* [Key Corporate Documents](https://www.iso-ne.com/about/corporate-governance/corporate-documents)






RTOs and ISOs
-------------


The ISO is one of nine RTOs and Independent System Operators (ISOs) in North America. FERC created us as an ISO in 1997\. While “ISO” remains part of our name, FERC designated us an RTO in 2005\. ISOs and RTOs share many core principles and functions in operating regional grids, running wholesale markets, and power system planning. One of the main differences in operating as an RTO is that ISO New England has broader authority over the operation of the transmission system. [See FERC Order No. 2000](https://ferc.gov/sites/default/files/2020-06/RM99-2-00K_1.pdf) for details.


","{""title"": ""Introductory Text"", ""section"": ""Industry Standards, Structure, and Relationships"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/about/what-we-do/industry-standards-structure-and-relationships""}",[17]
18,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_d/list_authorized_persons.pdf,"{""title"": ""list_authorized_persons.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_d/list_authorized_persons.pdf""}",[18]
19,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_a/att_a_1_res.pdf,"{""title"": ""att_a_1_res.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_a/att_a_1_res.pdf""}",[19]
20,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_b/attachment_b.pdf,"{""title"": ""attachment_b.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_b/attachment_b.pdf""}",[20]
21,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_a/att_a_mar_part_serv_agree.pdf,"{""title"": ""att_a_mar_part_serv_agree.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_a/att_a_mar_part_serv_agree.pdf""}",[21]
22,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_f/attach_f.pdf,"{""title"": ""attach_f.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_f/attach_f.pdf""}",[22]
23," Use these links to access transmission operating agreements and related documents:


* The ISO’s primary [Transmission Operating Agreement (TOA)](https://www.iso-ne.com/static-assets/documents/regulatory/toa/v1_er07_1289_000_toa_composite.pdf) with New England transmission owners, among other things, provides the ISO with operating authority over their commercial transmission facilities. Transmission owners that are signatories to this agreement are recognized under the ISO Tariff as participating transmission owners (PTOs).
* The [Rate Design and Funds Disbursement Agreement](https://www.iso-ne.com/static-assets/documents/regulatory/toa/rate_design_and_funds_disbursement_agree_8_11_06.pdf) supports the primary TOA by further specifying the filing rights of the PTOs under Section 205 of the Federal Power Act and providing direction on the invoicing, collection, and disbursement of customer payments.
* The [Phase I/II Transmission Operating Agreement](https://www.iso-ne.com/static-assets/documents/regulatory/toa/toa_1_27_2012.pdf) is an agreement between ISO New England and the New England asset owners that, among other things, provides the ISO with operating authority over the Phase I/II high\-voltage direct current (HVDC) transmission facilities—an interconnection between New England and Hydro\-Québec.
* The [Phase I/II Transmission Administration Service Agreement](https://www.iso-ne.com/static-assets/documents/regulatory/toa/tsa_1_27_2012.pdf) supports the Phase I/II Transmission Operating Agreement by setting out the rights and responsibilities of the ISO and the independent rights holders with regard to transmission services offered and administered over the Phase I/II HVDC transmission facility.


","{""title"": ""Introductory Text"", ""section"": ""Transmission Operating Agreements"", ""file_type"": ""html"", ""url"": ""https://www.iso-ne.com/participate/governing-agreements/transmission-operating-agreements""}",[23]
24,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/sect_4/section_ivb.pdf,"{""title"": ""section_ivb.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/sect_4/section_ivb.pdf""}",[24]
25,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_d/attachment_d.pdf,"{""title"": ""attachment_d.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/attach_d/attachment_d.pdf""}",[25]
26,https://www.iso-ne.com/static-assets/documents/regulatory/tariff/sect_4/section_iva.pdf,"{""title"": ""section_iva.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/regulatory/tariff/sect_4/section_iva.pdf""}",[26]
27,https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_ib.pdf,"{""title"": ""sect_i_ex_ib.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_ib.pdf""}",[27]
28,https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_ic.pdf,"{""title"": ""sect_i_ex_ic.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_ic.pdf""}",[28]
29,https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_id.pdf,"{""title"": ""sect_i_ex_id.pdf"", ""section"": ""Transmission, Markets, and Services Tariff"", ""file_type"": ""pdf"", ""url"": ""https://www.iso-ne.com/static-assets/documents/2017/09/sect_i_ex_id.pdf""}",[29]
